,pm2.5,pm1.0,pm10,time
0,2042,187,6029,0.0
4,1978,187,6029,0.26666666666666666
5,1978,204,5193,0.3333333333333333
16,1888,204,5193,1.0666666666666667
17,1888,229,4370,1.1333333333333333
28,1777,229,4370,1.8666666666666667
29,1777,246,3585,1.9333333333333333
40,1710,246,3585,2.6666666666666665
41,1710,269,2962,2.7333333333333334
53,1550,284,2962,3.533333333333333
54,1550,284,2467,3.6
65,1408,300,2467,4.333333333333333
66,1408,300,2096,4.4
77,1310,317,1853,5.133333333333334
89,1163,338,1853,5.933333333333334
90,1163,338,1485,6.0
101,1043,356,1485,6.733333333333333
102,1043,356,1205,6.8
114,972,366,1205,7.6
115,972,366,1091,7.666666666666667
126,906,379,1091,8.4
127,906,379,997,8.466666666666667
139,852,380,923,9.266666666666667
156,852,380,923,10.4
173,852,380,923,11.533333333333333
178,779,373,833,11.866666666666667
184,779,373,833,12.266666666666667
192,701,364,746,12.8
206,624,349,662,13.733333333333333
220,549,330,579,14.666666666666666
233,481,330,579,15.533333333333333
234,481,305,509,15.6
247,425,305,509,16.466666666666665
248,425,278,446,16.533333333333335
261,378,256,446,17.4
262,378,256,402,17.466666666666665
275,324,232,402,18.333333333333332
276,324,232,342,18.4
289,270,200,282,19.266666666666666
303,215,169,226,20.2
316,185,169,226,21.066666666666666
317,185,148,194,21.133333333333333
330,163,148,194,22.0
331,163,132,172,22.066666666666666
344,142,115,172,22.933333333333334
345,142,115,150,23.0
383,126,115,150,25.533333333333335
384,126,103,133,25.6
397,112,103,133,26.466666666666665
398,112,90,117,26.533333333333335
411,98,78,117,27.4
412,98,78,103,27.466666666666665
424,85,78,103,28.266666666666666
425,85,68,86,28.333333333333332
438,73,56,86,29.2
439,73,56,73,29.266666666666666
452,61,45,63,30.133333333333333
466,54,40,56,31.066666666666666
480,48,36,50,32.0
493,40,36,50,32.86666666666667
494,40,29,43,32.93333333333333
